Новосибирск;МСК+3;UTC+6;Орбита 3;channel_id=000000088;Орбита 2;channel_id=000000533;Спутник 3;channel_id=000000133;Дубль 3;channel_id=000000069;Дубль 3;channel_id=000000098;>СТС (+3)<;channel_id=000001622;>ТНТ (+3)<;channel_id=000001422;>Карусель (+3)<;channel_id=000001426
Омск;МСК+3;UTC+6;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 3;channel_id=000000133;Дубль 3;channel_id=000000069;Дубль 3;channel_id=000000098;>СТС (+3)<;channel_id=000001622;>ТНТ (+3)<;channel_id=000001422;>Карусель (+3)<;channel_id=000001426
Орёл;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Оренбург;МСК+2;UTC+5;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 2;channel_id=000000080;Дубль 3;channel_id=000000069;Дубль 4;channel_id=000000099;>СТС (+2)<;channel_id=000001467;>ТНТ (+2)<;channel_id=000000121;>Карусель (+2)<;channel_id=000001459
Пенза;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Пермь;МСК+2;UTC+5;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 2;channel_id=000000080;Дубль 3;channel_id=000000069;Дубль 4;channel_id=000000099;>СТС (+2)<;channel_id=000001467;>ТНТ (+2)<;channel_id=000000121;>Карусель (+2)<;channel_id=000001459
Петрозаводск;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Петропавловск-Камчатский;МСК+9;UTC+12;Орбита 1;channel_id=000000087;Орбита 7;channel_id=000000864;Спутник 7;channel_id=000000082;Дубль 1;channel_id=000000067;Дубль 1;channel_id=000000096;>СТС (+7)<;channel_id=000001842;>ТНТ (+7)<;channel_id=000001424;>Карусель (+7)<;channel_id=000001427
Псков;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Ростов-на-Дону;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Рязань;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Салехард;МСК+2;UTC+5;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 2;channel_id=000000080;Дубль 3;channel_id=000000069;Дубль 4;channel_id=000000099;>СТС (+2)<;channel_id=000001467;>ТНТ (+2)<;channel_id=000000121;>Карусель (+2)<;channel_id=000001459
